id_municipio;Estado ;municipio;lon1;lat1;lon2;lat2
2;AC;Acrelândia;-66,88277778;-9,827777778;-67,81166667;-9,978055556
3;AC;Assis Brasil;-69,5825;-10,91138889;-67,81166667;-9,978055556
4;AC;Brasiléia;-68,74777778;-11,01;-67,81166667;-9,978055556
5;AC;Bujari;-67,95194444;-9,830833333;-67,81166667;-9,978055556
6;AC;Capixaba;-67,67583333;-10,57277778;-67,81166667;-9,978055556
7;AC;Cruzeiro do Sul;-72,67;-7,630833333;-67,81166667;-9,978055556
8;AC;Epitaciolândia;-68,73527778;-11,01777778;-67,81166667;-9,978055556
9;AC;Feijó;-70,35388889;-8,163888889;-67,81166667;-9,978055556
10;AC;Jordão;-71,88388889;-9,433888889;-67,81166667;-9,978055556
12;AC;Manoel Urbano;-69,26;-8,838888889;-67,81166667;-9,978055556
13;AC;Marechal Thaumaturgo;-72,79194444;-8,940833333;-67,81166667;-9,978055556
11;AC;Mâncio Lima;-72,89583333;-7,613888889;-67,81166667;-9,978055556
14;AC;Plácido de Castro;-67,15;-10,27583333;-67,81166667;-9,978055556
15;AC;Porto Acre;-67,53277778;-9,587777778;-67,81166667;-9,978055556
16;AC;Porto Walter;-72,74388889;-8,268888889;-67,81166667;-9,978055556
17;AC;Rio Branco;-67,81166667;-9,978055556;-67,81166667;-9,978055556
18;AC;Rodrigues Alves;-72,64694444;-7,741944444;-67,81166667;-9,978055556
19;AC;Santa Rosa do Purus;-70,49277778;-9,432777778;-67,81166667;-9,978055556
21;AC;Sena Madureira;-68,65694444;-9,065833333;-67,81166667;-9,978055556
20;AC;Senador Guiomard;-67,73741;-10,1497;-67,81166667;-9,978055556
22;AC;Tarauacá;-70,76583333;-8,160833333;-67,81166667;-9,978055556
23;AC;Xapuri;-68,50388889;-10,65194444;-67,81166667;-9,978055556
25;AL;Anadia;-36,30416667;-9,684444444;-35,735;-9,665833333
26;AL;Arapiraca;-36,65;-9,75;-35,735;-9,665833333
27;AL;Atalaia;-36,02277778;-9,501944444;-35,735;-9,665833333
28;AL;Barra de Santo Antônio;-35,5;-9,4;-35,735;-9,665833333
29;AL;Barra de São Miguel;-35,9;-9,833333333;-35,735;-9,665833333
30;AL;Batalha;-37,12472222;-9,677777778;-35,735;-9,665833333
32;AL;Belo Monte;-37,28;-9,827777778;-35,735;-9,665833333
31;AL;Belém;-36,49222222;-9,571111111;-35,735;-9,665833333
33;AL;Boca da Mata;-36,22;-9,640833333;-35,735;-9,665833333
34;AL;Branquinha;-36,015;-9,245833333;-35,735;-9,665833333
35;AL;Cacimbinhas;-36,99;-9,4;-35,735;-9,665833333
36;AL;Cajueiro;-36,15361111;-9,396666667;-35,735;-9,665833333
37;AL;Campestre;-35,56777778;-8,845833333;-35,735;-9,665833333
38;AL;Campo Alegre;-36,35083333;-9,781944444;-35,735;-9,665833333
39;AL;Campo Grande;-36,79194444;-9,957777778;-35,735;-9,665833333
40;AL;Canapi;-37,605;-9,126944444;-35,735;-9,665833333
41;AL;Capela;-36,07361111;-9,4075;-35,735;-9,665833333
42;AL;Carneiros;-37,37694444;-9,482777778;-35,735;-9,665833333
43;AL;Chã Preta;-36,29583333;-9,255;-35,735;-9,665833333
44;AL;Coité do Nóia;-36,57888889;-9,631944444;-35,735;-9,665833333
45;AL;Colônia Leopoldina;-35,725;-8,908888889;-35,735;-9,665833333
46;AL;Coqueiro Seco;-35,80277778;-9,637777778;-35,735;-9,665833333
47;AL;Coruripe;-36,17583333;-10,12583333;-35,735;-9,665833333
48;AL;Craíbas;-36,76777778;-9,617777778;-35,735;-9,665833333
49;AL;Delmiro Gouveia;-37,99583333;-9,385833333;-35,735;-9,665833333
50;AL;Dois Riachos;-37,10083333;-9,392777778;-35,735;-9,665833333
51;AL;Estrela de Alagoas;-36,76;-9,39;-35,735;-9,665833333
52;AL;Feira Grande;-36,67777778;-9,9;-35,735;-9,665833333
53;AL;Feliz Deserto;-36,30583333;-10,29194444;-35,735;-9,665833333
54;AL;Flexeiras;-35,715;-9,272777778;-35,735;-9,665833333
55;AL;Girau do Ponciano;-36,82888889;-9,883888889;-35,735;-9,665833333
56;AL;Ibateguara;-35,93888889;-8,972777778;-35,735;-9,665833333
57;AL;Igaci;-36,63388889;-9,536944444;-35,735;-9,665833333
58;AL;Igreja Nova;-36,66194444;-10,12527778;-35,735;-9,665833333
59;AL;Inhapi;-37,75388889;-9,218888889;-35,735;-9,665833333
60;AL;Jacaré dos Homens;-37,205;-9,635833333;-35,735;-9,665833333
61;AL;Jacuípe;-35,46;-8,841944444;-35,735;-9,665833333
62;AL;Japaratinga;-35,25777778;-9,254444444;-35,735;-9,665833333
63;AL;Jaramataia;-37,00194444;-9,658888889;-35,735;-9,665833333
64;AL;Jequia Da Praia;-36,02388889;-10,00388889;-35,735;-9,665833333
65;AL;Joaquim Gomes;-35,74777778;-9,132777778;-35,735;-9,665833333
66;AL;Jundiá;-35,57388889;-8,935;-35,735;-9,665833333
67;AL;Junqueiro;-36,47583333;-9,925;-35,735;-9,665833333
68;AL;Lagoa da Canoa;-36,73777778;-9,83;-35,735;-9,665833333
69;AL;Limoeiro de Anadia;-36,50333333;-9,741388889;-35,735;-9,665833333
70;AL;Maceió;-35,735;-9,665833333;-35,735;-9,665833333
71;AL;Major Isidoro;-36,985;-9,531944444;-35,735;-9,665833333
76;AL;Mar Vermelho;-36,38777778;-9,447777778;-35,735;-9,665833333
72;AL;Maragogi;-35,2225;-9,012222222;-35,735;-9,665833333
73;AL;Maravilha;-37,3492346;-9,2324463;-35,735;-9,665833333
74;AL;Marechal Deodoro;-35,895;-9,71;-35,735;-9,665833333
75;AL;Maribondo;-36,305;-9,576944444;-35,735;-9,665833333
